Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
"(148, 24, 24, 198)",0.8192072072072072,0.707862414318336,0.9305520000960784,0.5839636805486201,0.29599796767289394,0.8719293934243464
"(148, 24, 49)",0.8408288288288288,0.7434249637355026,0.938232693922155,0.6238012996897137,0.35595945574691024,0.8916431436325171
"(148, 24, 49, 24)",0.830054054054054,0.7201587393628062,0.9399493687453018,0.5979220779220779,0.318929524858685,0.8769146309854707
"(148, 24, 49, 49)",0.8326846846846847,0.7214320020020889,0.9439373673672805,0.6182830199528493,0.3560465408733208,0.8805194990323777
"(148, 24, 49, 99)",0.8353513513513514,0.7146722684128608,0.956030434289842,0.6181866094602467,0.3207664155583931,0.9156068033621003
"(148, 24, 49, 148)",0.8461261261261261,0.7300337747310803,0.962218477521172,0.6401050420168067,0.35663376001436536,0.923576324019248
"(148, 24, 49, 198)",0.8516036036036038,0.7327069278044955,0.970500279402712,0.6543680445151032,0.35721974506440407,0.9515163439658023
"(148, 24, 99)",0.8353873873873873,0.7364415623746855,0.934333212400089,0.5971730047369647,0.3075881873246864,0.8867578221492429
"(148, 24, 99, 24)",0.8192072072072072,0.707862414318336,0.9305520000960784,0.5749942217973776,0.29831655702395443,0.8516718865708007
"(148, 24, 99, 49)",0.8219099099099099,0.7287027367004414,0.9151170831193783,0.5989573150863474,0.37905562293340606,0.8188590072392887
"(148, 24, 99, 99)",0.8354594594594594,0.7246082005212716,0.9463107183976472,0.6270868963421146,0.3649314840930033,0.8892423085912258
"(148, 24, 99, 148)",0.8326486486486486,0.7292297752176423,0.9360675220796549,0.6058333333333332,0.3491556366006408,0.8625110300660257
"(148, 24, 99, 198)",0.8461981981981982,0.7442831664475021,0.9481132299488942,0.6555207959382533,0.42462210161881186,0.8864194902576947
"(148, 24, 148)",0.8515675675675676,0.7362341276045481,0.966901007530587,0.6462251828631139,0.35786672631957317,0.9345836394066547
"(148, 24, 148, 24)",0.8273153153153153,0.7031769635912459,0.9514536670393847,0.6085810113519091,0.3154087583060534,0.9017532643977648
