,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
436,91,2.0,23K392,I.S. 392,0.589,98.0,46.0,48.0,91.0,4,0.8
92,92,2.0,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,0.258,68.0,21.0,14.0,32.0,4,0.8
290,93,1.0,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,0.293,81.0,16.0,9.0,31.0,8,0.8
428,94,1.0,21K225,P.S. K225 - THE EILEEN E. ZAGLIN,0.684,121.0,42.0,30.0,40.0,8,0.8
405,95,1.0,06M187,P.S./I.S. 187 HUDSON CLIFFS,0.406,97.0,36.0,34.0,61.0,8,0.8
373,96,6.0,29Q295,P.S./I.S. 295,0.419,58.0,27.0,43.0,53.0,1,0.6
349,97,4.0,26Q178,P.S./ IS 178 HOLLISWOOD,0.215,59.0,23.0,38.0,17.0,1,0.4
86,98,2.0,22K206,P.S. 206 JOSEPH F LAMB,0.4970000000000001,126.0,51.0,43.0,13.0,2,0.4
23,99,3.0,28Q190,J.H.S. 190 RUSSELL SAGE,0.3720000000000001,344.0,172.0,49.0,35.0,1,0.3
352,100,1.0,11X019,P.S. 019 JUDITH K. WEISS,0.35,58.0,24.0,52.0,36.0,2,0.2
111,101,1.0,25Q164,P.S. 164 QUEENS VALLEY,0.415,88.0,38.0,43.0,32.0,2,0.2
85,102,2.0,24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",0.18,103.0,46.0,39.0,21.0,1,0.2
240,103,0.0,32K347,I.S. 347 SCHOOL OF HUMANITIES,0.821,113.0,11.0,11.0,96.0,45,0.0
126,104,0.0,06M349,HARBOR HEIGHTS,0.878,38.0,0.0,0.0,100.0,19,0.0
419,105,0.0,09X232,I.S. 232,0.872,145.0,41.0,23.0,99.0,33,0.0
424,106,0.0,10X020,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",0.8059999999999999,122.0,42.0,35.0,82.0,17,0.0
381,107,0.0,10X447,CRESTON ACADEMY,0.898,167.0,29.0,18.0,96.0,54,0.0
234,108,0.0,05M514,NEW DESIGN MIDDLE SCHOOL,0.8809999999999999,46.0,11.0,16.0,95.0,12,0.0
274,109,0.0,06M366,WASHINGTON HEIGHTS ACADEMY,0.777,56.0,15.0,27.0,95.0,13,0.0
133,110,0.0,08X301,M.S. 301 PAUL L. DUNBAR,0.823,89.0,0.0,0.0,98.0,44,0.0
